Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure;SEP
1;196;7.47923080647228;16.963856378574334;-9.484625572102054;9.484625572102054
10;211;26.914517868236835;18.277263662040333;8.637254206196502;8.637254206196502
12;199;12.770799275716364;26.795068982645816;-14.024269706929452;14.024269706929452
16;39;2.9046579108306276;6.237054682588863;-3.3323967717582357;3.3323967717582357
23;68;28.955102296312845;11.370018201489975;17.585084094822868;17.585084094822868
25;7;1.6886565651702847;4.552060062451106;-2.863403497280821;2.863403497280821
26;28;2.9461970544171767;4.06615871930884;-1.119961664891663;1.119961664891663
31;5;2.475127063831658;5.380512468813421;-2.9053854049817636;2.9053854049817636
34;202;17.23312119923401;21.112264347615394;-3.8791431483813845;3.8791431483813845
37;11;4.20581479114814;3.5282076478509095;0.6776071432972306;0.6776071432972306
52;85;2.4174552276233956;2.7849914662839423;-0.36753623866054674;0.36753623866054674
56;113;4.263306095976321;6.919826156189339;-2.656520060213018;2.656520060213018
57;217;11.423261952697567;18.551606315586223;-7.128344362888656;7.128344362888656
66;185;53.62856888478488;25.985096558975858;27.643472325809025;27.643472325809025
68;220;17.79328106685798;14.774783875064832;3.0184971917931467;3.0184971917931467
69;105;1.8785640944915203;3.28421823035957;-1.4056541358680499;1.4056541358680499
70;109;-6.451197546051243e-06;1.640086255010474;-1.64009270620802;1.64009270620802
82;8;15.711867174021416;13.90446756548141;1.8073996085400061;1.8073996085400061
86;115;1.4702821996779742;1.927032731045413;-0.4567505313674387;0.4567505313674387
94;170;15.907133186187933;17.227640382763305;-1.320507196575372;1.320507196575372
118;2;9.747057968424574;7.248535488027219;2.498522480397355;2.498522480397355
119;55;8.705552514632675;8.716911026384055;-0.011358511751380362;0.011358511751380362
120;207;9.415798041764347;12.634554449858088;-3.218756408093741;3.218756408093741
123;104;0.9228668651829544;1.9792121777430554;-1.056345312560101;1.056345312560101
125;92;2.3359079336496182;8.979530134597278;-6.643622200947659;6.643622200947659
126;78;2.190455625809979e-05;4.1557114413952805;-4.155689536839023;4.155689536839023
133;97;0.5986810186999517;1.631942771904042;-1.0332617532040902;1.0332617532040902
