Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure
33;M290;36.883784865027756;42.12291388297031;-5.2391290179425525
42;M198;58.21509971368281;32.987131674957546;25.227968038725265
47;M173;20.86551839361229;23.587243701881402;-2.721725308269111
49;M170;76.80678643618289;135.25619924019537;-58.44941280401248
51;M120;54.17839724083969;128.6653940033316;-74.48699676249191
55;M25;33.62082130999523;108.06787353964307;-74.44705222964785
58;M121;21.12239290787624;44.17043547054962;-23.04804256267338
59;M141;21.328951312634313;35.96094306885623;-14.631991756221918
60;M285;66.13911775545127;49.19633552086711;16.942782234584158
62;M104;29.436499143410234;41.24429280081829;-11.807793657408059
64;M176;137.02698703793374;130.08544743330913;6.941539604624609
74;M188;96.09674964643655;62.361967918275816;33.73478172816073
76;M209;38.71769121902504;67.62097673221604;-28.903285513190994
77;M9;81.56071987047069;101.10731881316806;-19.546598942697372
78;M243;71.87226200992649;56.2776010386626;15.594660971263885
89;M238;55.909877702397964;55.090861827288435;0.8190158751095282
90;M166;67.31803213267433;77.27259607517507;-9.95456394250074
95;M175;43.06154707891847;41.97582413503576;1.0857229438827147
97;M284;36.66460896120277;64.06629606813426;-27.401687106931497
98;M70;323.9435806105527;191.74801895514912;132.1955616554036
106;M305;52.57112904050857;67.14483732751727;-14.573708287008692
110;M283;51.75885125554084;65.6624110292489;-13.90355977370806
