"ech","eau","C14.0","C16.0","C18.0","C18.1n9","C18.1n7","C18.2","C18.3","C20.0","tlip.MS","trans-alpha-carotène","trans-beta-carotène","13.cis-beta-carotène","9.cis-beta-carotène","total.beta-carotènes","total.carotènes"
"M1",64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M10",23,0.5,37,6.4,43.7,1.2,10.2,0.3,0.5,NA,185.983466775083,308.070263477176,70.9672988204909,58.9117140867505,437.949276384417,623.9327431595
"M100",24,0.9,44,4.2,37.4,1.3,11.2,0.6,0.4,82.2,224.999599493785,361.034610345754,71.6214431919517,66.7862402760392,499.442293813745,724.441893307531
"M101",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M102",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M103",25,0.5,37.4,6.4,49,1.1,5,0.3,0.4,83.8,984.078345759078,890.021870278027,65.1148482483519,123.642481328219,1078.7791998546,2062.85754561368
"M104",31,1.4,43.8,4.1,42.2,0.7,7.3,0.3,0.4,76.6,186.770328488062,148.915985820029,20.2784781920531,29.4365006013674,198.630964613449,385.401293101512
"M105",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M106",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M107",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M108",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M109",22,0.3,30.6,6.4,53.3,0.6,8.1,0.3,0.4,80.9,466.927271092709,672.245252102852,93.0792909730952,140.761140773825,906.085683849772,1373.01295494248
"M11",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M110",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M111",20,0.2,31.5,7.8,52.5,0.5,6.9,0.1,0.6,80.5,NA,NA,NA,NA,NA,NA
"M112",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M113",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M114",26,0.2,27.8,8.6,55.1,1.1,6.4,0.4,0.5,76.3,577.636220786215,719.08661460831,72.2919686648241,251.526634878552,1042.90521815169,1620.5414389379
"M115",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M116",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M117",21,0.2,35.4,7.1,48.1,0.6,7.7,0.3,0.5,82,178.450074245527,449.415571861012,45.7566321351025,73.3961134041708,568.568317400285,747.018391645812
"M118",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M119",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M12",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M120",25,0.2,28.8,8,54,0.6,7.8,0.1,0.6,79.6,223.48245980046,404.201846739611,54.474434350785,54.1783937498239,512.85467484022,736.33713464068
"M121",36,0.2,28.7,6.3,52.7,1.1,10.1,0.4,0.5,79.2,144.85033225987,95.0685259696284,10.3363423907725,21.1223956851414,126.527264045542,271.377596305412
"M122",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M123",28,1.4,47.4,3.8,35.8,1.4,9.4,0.4,0.4,83.9,278.34780374466,279.562468934485,32.8168656000105,57.3604106484866,369.739745182982,648.087548927642
"M124",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M125",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M126",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M127",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M128",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M129",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M13",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M130",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M131",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M132",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M133",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M134",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M135",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M136",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M137",25,0.2,28.2,8.1,54.8,0.9,6.9,0.3,0.5,84,445.520416725508,1051.80909863724,88.7806631746167,217.351727519448,1357.94148933131,1803.46190605682
"M138",19,0.3,31.5,8.9,51.6,1,6.3,0.1,0.5,85.8,61.3512560681556,126.044414910474,34.0815010991682,35.2857374634713,195.411653473113,256.762909541269
"M139",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M14",19,0.4,34.3,12.9,43.2,0,8.4,0.3,0.4,80.3,330.121668637239,302.969373806868,53.0958600785383,81.6042350866249,437.669468972031,767.79113760927
"M140",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M141",41,0.4,41.8,4.7,39.6,2.9,10.2,0.2,0.2,NA,124.584958373391,108.912514781261,29.7647657412413,21.3289476275978,160.0062281501,284.591186523492
"M142",26,0.5,42.8,5.7,39.4,1.8,8.9,0.4,0.4,82.1,25.054435692581,42.5944818671677,4.06084388789634,8.95946065980642,55.6147864148705,80.6692221074515
"M143",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M144",33,0.7,39.2,7.5,41.4,1.6,8.8,0.4,0.5,82,1530.27996908142,917.877996462076,186.512332500393,108.782873595892,1213.17320255836,2743.45317163978
"M145",36,0.8,40.5,6.1,39.6,1.7,10.8,0.1,0.4,77.7,99.3840298841584,126.00459094512,12.0816076955676,41.1002817351888,179.186480375876,278.570510260035
"M146",28,0.644089062955054,44.7616009698827,5.18361332835172,40.2068099572668,0.578128558172411,7.9791775071267,0.221270695391289,0.425309920853341,NA,93.408451782868,98.8753615122363,2.25258324213277,13.2361201568575,114.364064911227,207.772516694095
