Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure
33;M290;791.9185698650278;787.5198289752099;4.3987408898179865
42;M198;482.82208171368285;400.7466851670654;82.07539654661747
47;M173;246.22398539361228;279.0486855018667;-32.82470010825443
49;M170;1423.3864434361828;1050.0837553988326;373.3026880373502
51;M120;627.6843132408396;638.0740123808948;-10.3896991400552
55;M25;175.43692030999523;832.2406346865195;-656.8037143765242
58;M121;239.91885690787623;355.07280109867975;-115.15394419080351
59;M141;233.4974733126343;693.906836283597;-460.4093629709628
60;M285;699.4899097554513;662.2272308902939;37.262678865157454
62;M104;335.6863081434102;407.97440052108954;-72.28809237767933
64;M176;1434.0882980379338;1823.7544624833922;-389.66616444545843
74;M188;979.1233756464366;701.4048787100754;277.71849693636113
76;M209;882.389248219025;603.0794222491159;279.3098259699092
77;M9;905.1365408704706;907.7423414005406;-2.605800530069928
78;M243;435.6182870099265;663.1909453858553;-227.57265837592882
89;M238;493.25838470239796;610.4959793384566;-117.23759463605859
90;M166;1340.2491151326742;1549.2143998152847;-208.96528468261045
95;M175;716.9394760789185;701.2834487091152;15.656027369803269
97;M284;700.7896629612028;1017.9492721304986;-317.1596091692958
98;M70;2576.1473626105526;2104.080288413279;472.06707419727354
106;M305;610.7215740405086;836.6492350471107;-225.92766100660208
110;M283;614.8822392555409;710.0395789015346;-95.15733964599372
