Cal_data,n_ech,Propriete,pre,nvl
meso_frais_Pobe_ASD_24_25_306,306,eau,"rbind(list('adj',''),list('red',c(950,750,1)),list('snv',''),list('sder',c(1,3,15)))",4
meso_frais_Pobe_ASD_24_25_61,61,C14.0,"rbind(list('adj',''),list('red',c(950,750,1)),list('snv',''),list('sder',c(1,3,15)))",4
meso_frais_Pobe_ASD_24_25_61,61,C16.0,"rbind(list('adj',''),list('red',c(950,750,1)),list('snv',''),list('sder',c(1,3,15)))",4
meso_frais_Pobe_ASD_24_25_61,61,C18.0,"rbind(list('adj',''),list('red',c(40,1300,1)),list('snv',''),list('sder',c(2,3,15))))",9
meso_frais_Pobe_ASD_24_25_61,61,C18.1n9,"rbind(list('adj',''),list('red',c(950,750,1)),list('snv',''),list('sder',c(2,3,15))),",7
meso_frais_Pobe_ASD_24_25_61,61,C18.1n7,"rbind(list('adj',''),list('red',c(40,1300,1)),list('snv',''),list('sder',c(2,3,15))))",10
meso_frais_Pobe_ASD_24_25_61,61,C18.2,"rbind(list('adj',''),list('red',c(950,750,1)),list('snv',''),list('sder',c(2,3,15))),",6
meso_frais_Pobe_ASD_24_25_61,61,C18.3,"rbind(list('snv',''),list('sder',c(1,3,9)),list('red',c(10,10,1)))",2
meso_frais_Pobe_ASD_24_25_61,61,C20,"rbind(list('snv',''),list('sder',c(1,3,9)),list('red',c(10,10,1)))",2
exo_frais_Pobe_ASD_24_25_306,306,eau,"rbind(list('adj',''),list('red',c(1,1300,1)),list('snv','')),",3
exo_frais_Pobe_ASD_24_25_61,217,C14.0,"rbind(list('adj',''),list('red',c(950,750,1)),list('snv',''),list('sder',c(1,3,15))),",10
exo_frais_Pobe_ASD_24_25_61,31,C16.0,"rbind(list('adj',''),list('red',c(950,750,1)),list('snv',''),list('sder',c(1,3,15))),",8
exo_frais_Pobe_ASD_24_25_61,31,C18.0,"rbind(list('adj',''),list('red',c(950,750,1)),list('snv',''),list('sder',c(1,3,15))),",5
exo_frais_Pobe_ASD_24_25_61,31,C18.1n9,"rbind(list('adj',''),list('red',c(950,750,1)),list('snv',''),list('sder',c(1,3,15))),",10
exo_frais_Pobe_ASD_24_25_61,31,C18.1n7,"rbind(list('adj',''),list('red',c(950,750,1)),list('snv',''),list('sder',c(1,3,15))),",12
exo_frais_Pobe_ASD_24_25_61,31,C18.2,"rbind(list('adj',''),list('snv',''),list('sder',c(2,3,15)))",11
exo_frais_Pobe_ASD_24_25_61,31,C18.3,"rbind(list('adj',''),list('snv',''),list('sder',c(2,3,15)))",4
exo_frais_Pobe_ASD_24_25_61,31,C20,"rbind(list('adj',''),list('red',c(950,750,1)),list('snv',''),list('sder',c(2,3,15))),",13
